media_channel,advertiser_name,document_number,service_date,invoice_date,invoice_number,media_provider_name,vendor_name,invoice_amount,expense_catagory,business_unit,location,department,expense_code,invoiced_clicks
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/22/18,1/1/19,MED-4748,RealGood Interactive Media Inc.,Googly Ads,87559,PASS -THROUGH MEDIA,7016,30024,6063,79010,57263
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/23/18,1/1/19,MED-4588,RealGood Interactive Media Inc.,Googly Ads,43962,PASS -THROUGH MEDIA,7016,82337,6063,79005,45929
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,12/25/18,1/1/19,MED-4469,Critical Point Social Media Agency,Spacebook,77686,PASS -THROUGH MEDIA,2808,28101,6056,79010,56583
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,12/25/18,1/1/19,MED-4829,RealGood Interactive Media Inc.,Googly Ads,26998,PASS -THROUGH MEDIA,1808,18801,6063,79005,31063
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,12/25/18,1/2/19,MED-2786,Critical Point Social Media Agency,Spacebook,1253,PASS -THROUGH MEDIA,7016,30024,6063,79010,671
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,12/26/18,1/2/19,MED-2672,RealGood Interactive Media Inc.,Zing,85995,PASS -THROUGH MEDIA,7016,82337,6063,79005,411734
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,12/26/18,1/2/19,MED-8638,RealGood Interactive Media Inc.,Zing,8605,PASS -THROUGH MEDIA,2808,28101,6056,79010,19242
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,12/26/18,1/3/19,MED-2387,RealGood Interactive Media Inc.,Zing,27041,PASS -THROUGH MEDIA,1808,18801,6063,79005,85246
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/26/18,1/3/19,MED-5151,RealGood Interactive Media Inc.,Baja Vista,75337,PASS -THROUGH MEDIA,7016,30024,6063,79010,247359
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,12/27/18,1/3/19,MED-1987,RealGood Interactive Media Inc.,Baja Vista,24136,PASS -THROUGH MEDIA,7016,82337,6063,79005,73924
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,12/27/18,1/3/19,MED-5644,RealGood Interactive Media Inc.,Baja Vista,97356,PASS -THROUGH MEDIA,2808,28101,6056,79010,232919
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/27/18,1/3/19,MED-7849,RealGood Interactive Media Inc.,Baja Vista,11090,PASS -THROUGH MEDIA,1808,18801,6063,79005,20876
